,zpid,latitude,longitude,usecode,bathrooms,bedrooms,zipcode,price,lotSizeSqFt,Nearest Station Index,Nearest Station Lat,Nearest Station Lon,Borough,distance_miles
16582,31514778,40.762848,-73.988998,Condominium,1.0,0,10019,613238,0,161,40.762456,-73.985984,M,0.16008952306899363
16583,31514774,40.762848,-73.988998,Condominium,1.0,1,10019,608304,0,161,40.762456,-73.985984,M,0.16008952306899363
16584,31514762,40.762848,-73.988998,Condominium,0.0,0,10019,578933,0,161,40.762456,-73.985984,M,0.16008952306899363
16610,72516468,40.740698,-73.988314,Cooperative,0.0,0,10010,1660403,0,13,40.741303,-73.98934399999999,M,0.06824717265028876
16611,97502263,40.74051,-73.988104,Condominium,0.0,0,10010,11966206,0,13,40.741303,-73.98934399999999,M,0.08497283529463279
16613,2097641475,40.738979,-73.982797,SingleFamily,1.0,2,10010,1106292,0,406,40.739864000000004,-73.986599,M,0.20828481707669877
16614,2097757522,40.738979,-73.982797,SingleFamily,1.0,3,10010,1597688,0,406,40.739864000000004,-73.986599,M,0.20828481707669877
16615,2097830651,40.738979,-73.982797,SingleFamily,1.0,3,10010,1597688,0,406,40.739864000000004,-73.986599,M,0.20828481707669877
16617,97530028,40.74051,-73.988104,Condominium,0.0,0,10010,13099933,0,13,40.741303,-73.98934399999999,M,0.08497283529463279
16618,219712876,40.74051,-73.988104,Condominium,0.0,0,10010,12744743,0,13,40.741303,-73.98934399999999,M,0.08497283529463279
16619,219713837,40.74051,-73.988104,Condominium,0.0,0,10010,12744743,0,13,40.741303,-73.98934399999999,M,0.08497283529463279
16620,2101499695,40.737082,-73.982392,MultiFamily2To4,1.0,3,10010,1148261,0,406,40.739864000000004,-73.986599,M,0.2924184871688378
16621,2114399673,40.736619,-73.982432,MultiFamily2To4,1.0,3,10010,1144332,0,117,40.732849,-73.986122,M,0.32440513011303346
16622,2122323597,40.736226,-73.980361,MultiFamily2To4,1.0,2,10010,850468,0,118,40.730953,-73.981628,M,0.37043486899684114
16623,143108284,40.745163,-73.99855,Condominium,0.0,0,10010,1137147,0,164,40.745906,-73.998041,M,0.05785700110854337
16624,143108248,40.745163,-73.99855,Condominium,0.0,0,10010,1117537,0,164,40.745906,-73.998041,M,0.05785700110854337
16625,143108205,40.745653,-73.999709,MultiFamily2To4,1.0,0,10010,751933,0,164,40.745906,-73.998041,M,0.08907373195973678
16626,143108125,40.745653,-73.999709,Condominium,2.0,2,10010,1671688,0,164,40.745906,-73.998041,M,0.08907373195973678
16627,143108053,40.745653,-73.999709,MultiFamily2To4,1.0,0,10010,751933,0,164,40.745906,-73.998041,M,0.08907373195973678
16628,118327977,40.737518,-73.980766,Condominium,0.0,0,10010,2126221,0,406,40.739864000000004,-73.986599,M,0.34582940400257145
16629,118327904,40.737518,-73.980766,MultiFamily2To4,1.0,1,10010,1042849,0,406,40.739864000000004,-73.986599,M,0.34582940400257145
16630,118327593,40.737518,-73.980766,MultiFamily2To4,2.0,2,10010,1753088,0,406,40.739864000000004,-73.986599,M,0.34582940400257145
16631,118327522,40.737784,-73.980771,Condominium,2.0,2,10010,1865399,0,406,40.739864000000004,-73.986599,M,0.33736302149273306
16633,118327099,40.737518,-73.980766,Condominium,1.0,1,10010,1171510,0,406,40.739864000000004,-73.986599,M,0.34582940400257145
16634,117672190,40.737518,-73.980766,Condominium,1.5,2,10010,1510230,0,406,40.739864000000004,-73.986599,M,0.34582940400257145
16722,97532018,40.702936,-74.012678,Condominium,0.0,0,10004,9173775,0,22,40.703087,-74.01299399999999,M,0.019571849238720233
16771,2092038078,40.689742,-73.979898,MultiFamily2To4,1.0,0,11201,542137,0,338,40.688246,-73.980492,Bk,0.10798057496812895
16772,2093257880,40.689742,-73.979898,MultiFamily2To4,1.0,1,11201,679491,0,338,40.688246,-73.980492,Bk,0.10798057496812895
16773,30693668,40.630083,-74.018683,Condominium,0.0,0,11209,420120,6679,35,40.634966999999996,-74.023377,Bk,0.41780758794664313
16774,30696205,40.631344,-74.038194,SingleFamily,0.0,0,11209,998899,2000,36,40.629742,-74.02551,Bk,0.6744647631372582
16776,30702218,40.61364,-74.03414,Condominium,0.0,0,11209,474780,7500,38,40.616622,-74.030876,Bk,0.2679605631131697
16777,59996030,40.623324,-74.029005,Condominium,0.0,0,11209,581603,0,37,40.622687,-74.028398,Bk,0.054334716735987464
16778,216140696,40.631601,-74.037375,SingleFamily,0.0,0,11209,2481403,6217,36,40.629742,-74.02551,Bk,0.6354786276603378
16779,216140697,40.631601,-74.037375,SingleFamily,0.0,0,11209,2481403,6217,36,40.629742,-74.02551,Bk,0.6354786276603378
16780,2111968760,40.622092,-74.025581,Unknown,0.0,0,11209,480361,0,37,40.622687,-74.028398,Bk,0.15339346000081738
16805,30579858,40.65808,-73.980961,Duplex,0.0,0,11215,2163805,2025,242,40.660365000000006,-73.979493,Bk,0.1756850835966006
16806,30574098,40.661546,-73.999342,Quadruplex,0.0,0,11232,1811557,2504,30,40.660396999999996,-73.998091,Bk,0.10299680596491016
16807,30574102,40.659544,-73.996936,SingleFamily,0.0,0,11232,1640454,2000,30,40.660396999999996,-73.998091,Bk,0.08451508589456794
16810,2112600535,40.66016,-73.997032,SingleFamily,3.0,4,11232,1779337,0,30,40.660396999999996,-73.998091,Bk,0.05788885840392622
16811,2146445928,40.660186,-73.997926,Unknown,1.0,1,11232,838021,0,30,40.660396999999996,-73.998091,Bk,0.01695610722659849
16812,216113504,40.64787,-74.001002,Cooperative,1.0,2,11232,530887,0,58,40.646291999999995,-73.994324,Bk,0.3667848835174405
16813,244988125,40.64787,-74.001002,Cooperative,0.0,0,11232,560715,7517,58,40.646291999999995,-73.994324,Bk,0.3667848835174405
16814,2123447873,40.651568,-74.00777,SingleFamily,1.0,2,11232,841779,0,32,40.648939,-74.010006,Bk,0.2162492727175757
16815,245063464,40.644083,-73.998509,Cooperative,0.0,0,11232,578562,12020,58,40.646291999999995,-73.994324,Bk,0.2673495821936619
16817,2096355774,40.661589,-73.999413,Unknown,0.0,0,11232,914774,0,30,40.660396999999996,-73.998091,Bk,0.10766315946733566
16818,2096355778,40.661589,-73.999413,Unknown,0.0,0,11232,914774,0,30,40.660396999999996,-73.998091,Bk,0.10766315946733566
16819,2096380229,40.661589,-73.999413,Unknown,0.0,0,11232,914774,0,30,40.660396999999996,-73.998091,Bk,0.10766315946733566
16821,2096404769,40.661589,-73.999413,Unknown,0.0,0,11232,914774,0,30,40.660396999999996,-73.998091,Bk,0.10766315946733566
16822,2096404797,40.661589,-73.999413,Unknown,0.0,0,11232,914774,0,30,40.660396999999996,-73.998091,Bk,0.10766315946733566
16823,2096404979,40.661589,-73.999413,Unknown,0.0,0,11232,914774,0,30,40.660396999999996,-73.998091,Bk,0.10766315946733566
16824,2096405072,40.661589,-73.999413,Unknown,0.0,0,11232,914774,0,30,40.660396999999996,-73.998091,Bk,0.10766315946733566
16825,2088417797,40.66022,-73.997881,MultiFamily2To4,1.0,2,11232,786332,0,30,40.660396999999996,-73.998091,Bk,0.016458434611508414
16826,2088556627,40.66022,-73.997881,MultiFamily2To4,1.0,1,11232,682511,0,30,40.660396999999996,-73.998091,Bk,0.016458434611508414
16827,2088583633,40.66022,-73.997881,MultiFamily2To4,2.0,3,11232,1048749,0,30,40.660396999999996,-73.998091,Bk,0.016458434611508414
16828,2089211539,40.66022,-73.997881,MultiFamily2To4,1.0,1,11232,692415,0,30,40.660396999999996,-73.998091,Bk,0.016458434611508414
16829,2086483061,40.66022,-73.997881,MultiFamily2To4,1.0,2,11232,762688,0,30,40.660396999999996,-73.998091,Bk,0.016458434611508414
16830,2086783826,40.66022,-73.997881,MultiFamily2To4,1.0,1,11232,680052,0,30,40.660396999999996,-73.998091,Bk,0.016458434611508414
16831,30574620,40.655344,-74.005674,SingleFamily,0.0,1,11232,846924,2078,31,40.655144,-74.00354899999999,Bk,0.11227565226553218
16833,30574622,40.653458,-74.00254,Triplex,0.0,0,11232,1583681,2003,31,40.655144,-74.00354899999999,Bk,0.1279758639012119
16834,30574623,40.653491,-74.002596,Triplex,0.0,0,11232,1584651,2003,31,40.655144,-74.00354899999999,Bk,0.12469720141744403
16835,30574625,40.653559,-74.002708,Triplex,0.0,0,11232,1587723,2003,31,40.655144,-74.00354899999999,Bk,0.11808968222314092
16836,30574631,40.653743,-74.003015,MultiFamily2To4,1.0,4,11232,944208,1698,31,40.655144,-74.00354899999999,Bk,0.100797140544636
16837,30574632,40.653771,-74.003062,Duplex,0.0,0,11232,1254909,1700,31,40.655144,-74.00354899999999,Bk,0.09827054541558741
16838,30574633,40.6538,-74.00311,Duplex,0.0,0,11232,1355925,1700,31,40.655144,-74.00354899999999,Bk,0.09570011399422916
16839,30574636,40.653887,-74.003255,Duplex,0.0,0,11232,1559390,1700,31,40.655144,-74.00354899999999,Bk,0.0882346331422188
16840,30574637,40.653916,-74.003303,Duplex,0.0,0,11232,1383974,1700,31,40.655144,-74.00354899999999,Bk,0.085847780020156
16841,30574638,40.653944,-74.003351,Duplex,0.0,0,11232,1380997,1700,31,40.655144,-74.00354899999999,Bk,0.08358525994977542
16842,30574640,40.654001,-74.003446,MultiFamily2To4,0.0,0,11232,1041010,1700,31,40.655144,-74.00354899999999,Bk,0.07918283123391097
16843,30574641,40.654031,-74.003495,MultiFamily2To4,3.0,5,11232,1306393,1698,31,40.655144,-74.00354899999999,Bk,0.07697707894860467
16844,30574643,40.654089,-74.003591,Triplex,0.0,0,11232,1633899,1700,31,40.655144,-74.00354899999999,Bk,0.07294956587621357
16845,30574644,40.654118,-74.00364,Triplex,0.0,0,11232,1632440,1700,31,40.655144,-74.00354899999999,Bk,0.0710723330410546
16846,30574663,40.653819,-74.004057,Duplex,0.0,0,11232,1560219,2003,31,40.655144,-74.00354899999999,Bk,0.09537254283525325
16847,30574665,40.653755,-74.003952,Triplex,0.0,0,11232,1504569,1767,31,40.655144,-74.00354899999999,Bk,0.09829882338306854
16848,30574667,40.653695,-74.003854,Duplex,0.0,0,11232,1312184,1644,31,40.655144,-74.00354899999999,Bk,0.10141649459183032
16849,30574671,40.653581,-74.003668,Duplex,0.0,0,11232,1184805,1625,31,40.655144,-74.00354899999999,Bk,0.10820678743089063
16850,30574673,40.653526,-74.003577,Condominium,3.0,1,11232,1231172,1625,31,40.655144,-74.00354899999999,Bk,0.11183769533968858
16852,30574677,40.65329,-74.003191,Quadruplex,0.0,0,11232,1622194,2483,31,40.655144,-74.00354899999999,Bk,0.12950684952565097
16853,30574678,40.653247,-74.003121,Quadruplex,0.0,0,11232,1627595,2483,31,40.655144,-74.00354899999999,Bk,0.1330179403745119
16855,142799759,40.653622,-74.002814,Duplex,0.0,0,11232,1394748,1803,31,40.655144,-74.00354899999999,Bk,0.11203054428023915
16895,30691967,40.637685,-74.03155,Miscellaneous,3.0,2,11220,903126,1900,35,40.634966999999996,-74.023377,Bk,0.4680172188191841
16896,30691974,40.637991,-74.032344,Duplex,0.0,0,11220,1108510,3734,35,40.634966999999996,-74.023377,Bk,0.5146542827936692
16897,30691975,40.638016,-74.032424,MultiFamily2To4,3.0,5,11220,1163058,3624,35,40.634966999999996,-74.023377,Bk,0.519190212713728
16898,30691976,40.638042,-74.032507,Duplex,0.0,0,11220,1120565,3625,35,40.634966999999996,-74.023377,Bk,0.523898021848587
16899,30691977,40.638068,-74.032591,Duplex,0.0,0,11220,1118362,3625,35,40.634966999999996,-74.023377,Bk,0.5286538027865247
16900,30691981,40.638172,-74.032924,MultiFamily2To4,2.0,4,11220,998003,3625,35,40.634966999999996,-74.023377,Bk,0.547533392765288
16901,30691984,40.638249,-74.033173,Duplex,0.0,0,11220,1000884,3625,35,40.634966999999996,-74.023377,Bk,0.5616294638527188
16905,30692027,40.637143,-74.029601,Duplex,0.0,0,11220,1191831,2900,35,40.634966999999996,-74.023377,Bk,0.35941901244463853
16907,30692029,40.637184,-74.029735,Duplex,0.0,0,11220,1192435,2900,35,40.634966999999996,-74.023377,Bk,0.3669881020208784
16929,2105466930,40.679618,-73.968515,MultiFamily2To4,1.0,1,11238,684441,0,177,40.683263000000004,-73.965838,Bk,0.28836191650195914
16930,124720067,40.687761,-73.971941,Cooperative,0.0,0,11238,861438,0,176,40.686113,-73.973946,Bk,0.1549685541897518
16931,2102336104,40.679839,-73.968439,MultiFamily2To4,1.0,1,11238,680664,0,177,40.683263000000004,-73.965838,Bk,0.2731078616779092
16932,2100018572,40.67803,-73.96786,Unknown,0.0,0,11238,1034385,0,341,40.675235,-73.971046,Bk,0.25535490171977837
16938,112079814,40.672468,-73.96075,MultiFamily2To4,3.5,0,11238,1987907,6500,140,40.670343,-73.959245,Bk,0.16671770855072762
16939,2115542464,40.675898,-73.956541,MultiFamily2To4,1.0,2,11238,681249,0,139,40.674772,-73.957624,Bk,0.09632839673035491
16940,2106545790,40.683311,-73.964477,MultiFamily2To4,1.0,3,11238,831155,0,177,40.683263000000004,-73.965838,Bk,0.07140928288006497
16941,2112064242,40.68212,-73.96699,Condominium,1.0,0,11238,752814,0,177,40.683263000000004,-73.965838,Bk,0.099430075112245
16942,2105207032,40.679695,-73.96849,MultiFamily2To4,1.0,0,11238,529225,0,177,40.683263000000004,-73.965838,Bk,0.2830786134103075
16943,123984877,40.686589,-73.962092,Triplex,0.0,0,11238,2432896,1325,291,40.688873,-73.96007,Bk,0.1901284237811229
16945,244992090,40.687489,-73.967501,Cooperative,0.0,0,11238,741213,84506,292,40.688089,-73.96683900000001,Bk,0.05406810837328851
16946,245009275,40.689246,-73.963376,Cooperative,0.0,0,11238,649005,99752,291,40.688873,-73.96007,Bk,0.17516518122587696
16947,245010554,40.689397,-73.962038,Cooperative,0.0,0,11238,689042,136778,291,40.688873,-73.96007,Bk,0.1093107995589512
16948,245010740,40.682447,-73.95903,Condominium,0.0,0,11238,1147164,0,178,40.68138,-73.956848,Bk,0.1360795949607413
16949,245020091,40.684005,-73.970442,Cooperative,0.0,0,11238,883621,125017,176,40.686113,-73.973946,Bk,0.2344194337662007
16950,245029872,40.687375,-73.967478,Cooperative,0.0,0,11238,722318,84506,292,40.688089,-73.96683900000001,Bk,0.05963835575438637
16951,245043500,40.683926,-73.970792,Cooperative,0.0,0,11238,878921,125017,176,40.686113,-73.973946,Bk,0.22399193631076225
16952,245054277,40.6873,-73.967463,Cooperative,0.0,0,11238,714934,84506,292,40.688089,-73.96683900000001,Bk,0.06358595934475214
16953,245062816,40.687308,-73.967106,Cooperative,0.0,0,11238,723998,84506,292,40.688089,-73.96683900000001,Bk,0.05576302575618656
16965,2104031760,40.653538,-73.964126,MultiFamily2To4,1.0,1,11226,527952,0,42,40.655291999999996,-73.961495,Bk,0.18365084049419428
16966,2100616921,40.653591,-73.964753,MultiFamily2To4,1.0,1,11226,504692,0,43,40.650527000000004,-73.962982,Bk,0.2312350037814827
16968,2100787749,40.653591,-73.964753,MultiFamily2To4,2.0,2,11226,798651,0,43,40.650527000000004,-73.962982,Bk,0.2312350037814827
16969,2100787750,40.653538,-73.964126,MultiFamily2To4,1.0,1,11226,509732,0,42,40.655291999999996,-73.961495,Bk,0.18365084049419428
16970,2103744095,40.653591,-73.964753,MultiFamily2To4,1.0,1,11226,511633,0,43,40.650527000000004,-73.962982,Bk,0.2312350037814827
16971,2103747041,40.653591,-73.964753,MultiFamily2To4,2.0,2,11226,776722,0,43,40.650527000000004,-73.962982,Bk,0.2312350037814827
16972,2103755870,40.6538,-73.9645,MultiFamily2To4,1.0,1,11226,529216,0,42,40.655291999999996,-73.961495,Bk,0.18830902983618852
16975,2104051616,40.653652,-73.96408,Unknown,1.0,1,11226,515452,0,42,40.655291999999996,-73.961495,Bk,0.17669091224065686
16976,2104051927,40.653591,-73.964753,MultiFamily2To4,2.0,2,11226,781130,0,43,40.650527000000004,-73.962982,Bk,0.2312350037814827
16978,2104085905,40.653538,-73.964126,MultiFamily2To4,1.0,1,11226,525038,0,42,40.655291999999996,-73.961495,Bk,0.18365084049419428
16979,2104099738,40.653591,-73.964753,MultiFamily2To4,1.0,1,11226,529937,0,43,40.650527000000004,-73.962982,Bk,0.2312350037814827
16980,2104099740,40.653591,-73.964753,MultiFamily2To4,2.0,2,11226,764983,0,43,40.650527000000004,-73.962982,Bk,0.2312350037814827
16981,2104099754,40.653591,-73.964753,MultiFamily2To4,1.0,0,11226,523718,0,43,40.650527000000004,-73.962982,Bk,0.2312350037814827
16982,2104112749,40.653652,-73.96408,Condominium,1.0,1,11226,563798,0,42,40.655291999999996,-73.961495,Bk,0.17669091224065686
16984,2104181855,40.653538,-73.964126,MultiFamily2To4,1.0,1,11226,544752,0,42,40.655291999999996,-73.961495,Bk,0.18365084049419428
16986,2104181863,40.653591,-73.964753,MultiFamily2To4,2.0,2,11226,776181,0,43,40.650527000000004,-73.962982,Bk,0.2312350037814827
16987,2104237914,40.653591,-73.964753,MultiFamily2To4,1.0,2,11226,738220,0,43,40.650527000000004,-73.962982,Bk,0.2312350037814827
16990,2132056362,40.6516,-73.9376,SingleFamily,0.0,0,11203,718706,1698,357,40.650843,-73.949575,Bk,0.6301065996136588
16991,2085627614,40.641971,-73.980735,MultiFamily2To4,1.0,2,11218,556691,0,244,40.644040999999994,-73.979678,Bk,0.15343150591804877
16992,2102071390,40.641971,-73.980735,MultiFamily2To4,1.0,2,11218,556154,0,244,40.644040999999994,-73.979678,Bk,0.15343150591804877
16993,2085625477,40.651001,-73.951304,MultiFamily2To4,1.0,2,11226,370147,0,357,40.650843,-73.949575,Bk,0.09131891733578339
16994,2085626517,40.651459,-73.931074,MultiFamily2To4,1.0,2,11203,303997,0,347,40.664716999999996,-73.92260999999999,Bk,1.018132870941331
16995,2085626516,40.651459,-73.931074,MultiFamily2To4,1.0,2,11203,303997,0,347,40.664716999999996,-73.92260999999999,Bk,1.018132870941331
16996,30659184,40.651684,-73.937028,MultiFamily2To4,2.0,6,11203,658666,2164,357,40.650843,-73.949575,Bk,0.6604867448720882
16997,2086414853,40.651435,-73.931576,MultiFamily2To4,1.0,2,11203,304246,0,347,40.664716999999996,-73.92260999999999,Bk,1.0313540254882914
17000,118632707,40.651793,-73.934579,Mobile,1.0,0,11203,328120,2000,357,40.650843,-73.949575,Bk,0.7890776174619859
17003,30653389,40.651392,-73.932874,MultiFamily2To4,2.0,4,11203,587340,1805,357,40.650843,-73.949575,Bk,0.8765699914099861
17004,30659301,40.651849,-73.933494,MultiFamily2To4,3.0,6,11203,644160,2126,357,40.650843,-73.949575,Bk,0.8460963183190522
17007,30653539,40.651983,-73.928091,Townhouse,6.0,6,11203,817807,2058,347,40.664716999999996,-73.92260999999999,Bk,0.9258395038741386
17010,30653015,40.652634,-73.925764,SingleFamily,1.0,2,11203,545774,1176,347,40.664716999999996,-73.92260999999999,Bk,0.8513317825804463
17011,30665864,40.647304,-73.969144,MultiFamily2To4,4.0,3,11218,1179534,2102,44,40.644031,-73.964492,Bk,0.33269680471062985
17012,30653390,40.651396,-73.932801,SingleFamily,2.0,4,11203,704797,1796,347,40.664716999999996,-73.92260999999999,Bk,1.0645000284033748
17018,2096436305,40.635354,-73.962696,Unknown,0.0,0,11226,484382,0,46,40.635082000000004,-73.962793,Bk,0.019475533849437503
17020,2108183461,40.635131,-73.962692,MultiFamily2To4,1.0,3,11226,602246,0,46,40.635082000000004,-73.962793,Bk,0.006287423538003497
17022,2123826228,40.635527,-73.962726,Condominium,1.0,2,11226,631496,0,46,40.635082000000004,-73.962793,Bk,0.030956276010234714
17023,79492543,40.629615,-73.967581,Cooperative,0.0,0,11230,505242,0,47,40.62927,-73.961639,Bk,0.3125919080506886
17024,244996569,40.629615,-73.967581,Cooperative,0.0,0,11230,345086,20000,47,40.62927,-73.961639,Bk,0.3125919080506886
17025,244997231,40.629615,-73.967581,Cooperative,0.0,0,11230,345086,20000,47,40.62927,-73.961639,Bk,0.3125919080506886
17026,245025823,40.629615,-73.967581,Cooperative,0.0,0,11230,345086,20000,47,40.62927,-73.961639,Bk,0.3125919080506886
17027,245032977,40.629615,-73.967581,Cooperative,0.0,0,11230,345086,20000,47,40.62927,-73.961639,Bk,0.3125919080506886
17028,245066186,40.629615,-73.967581,Cooperative,0.0,0,11230,345086,20000,47,40.62927,-73.961639,Bk,0.3125919080506886
17029,245070443,40.629615,-73.967581,MultiFamily2To4,1.0,2,11230,496099,20000,47,40.62927,-73.961639,Bk,0.3125919080506886
17030,251491097,40.629615,-73.967581,Cooperative,0.0,0,11230,269743,0,47,40.62927,-73.961639,Bk,0.3125919080506886
17031,2087868637,40.629037,-73.96842,MultiFamily2To4,2.0,2,11230,555801,0,47,40.62927,-73.961639,Bk,0.3560558697498476
17032,2088024263,40.629037,-73.96842,MultiFamily2To4,2.0,2,11230,555801,0,47,40.62927,-73.961639,Bk,0.3560558697498476
17033,2088763131,40.629037,-73.96842,MultiFamily2To4,1.0,1,11230,315943,0,47,40.62927,-73.961639,Bk,0.3560558697498476
17034,2109036915,40.629379,-73.967529,MultiFamily2To4,1.0,1,11230,314651,0,47,40.62927,-73.961639,Bk,0.30904591699845013
17035,30724205,40.630053,-73.959199,MultiFamily2To4,3.5,6,11230,705186,4181,47,40.62927,-73.961639,Bk,0.13895811468668645
